ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1084915-999-46,1,3,2022,1,21,0,10,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,38,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES - ZACATECAS,AVENIDA SIGLO XXI,AGUASCALIENTES - ZACATECAS,-102.2907018,21.94464748,680
1084915-999-47,1,3,2022,1,21,50,10,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,30,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,ERMITA DE SAN SEBASTIÁN,,-102.26404959999999,21.92542154,681
1084915-999-48,1,3,2022,1,22,15,10,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,48,0,0,0,0,0,0,0,0,0,0,0,0,3,ESFUERZO NACIONAL,JARDINES DE VERSALLES,,-102.2562059,21.89388552,682
1084915-999-49,1,3,2022,1,7,30,11,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,UNIVERSIDAD,SIERRA NEVADA,,-102.31443780000001,21.9182586,683
1084915-999-5,1,3,2022,1,8,10,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,55,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,CANADÁ,,-102.3087107,21.85869715,684
1084915-999-50,1,3,2022,1,10,46,11,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,41,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,OJOCALIENTE,,-102.2542269,21.87028825,685
1084915-999-51,1,3,2022,1,12,15,11,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,21,0,0,0,0,0,0,0,0,0,0,0,0,3,MONTE EVEREST,AGUASCALIENTES NORTE,,-102.3123561,21.91647114,686
1084915-999-53,1,3,2022,1,22,15,11,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,IGNACIO T. CHÁVEZ,COQUIMBO,,-102.3013993,21.87341228,687
1084915-999-54,1,3,2022,1,22,20,11,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,41,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,CANADÁ,,-102.3087107,21.85869715,688
1084915-999-55,1,3,2022,1,1,57,12,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,VALLADOLID,SAN IGNACIO,,-102.2979513,21.88833011,689
1084915-999-56,1,3,2022,1,5,0,12,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,39,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE INMORTAL,JESÚS RIVERA FRANCO,,-102.2692005,21.84292389,690
